arr_port^pax^Airport_Name
LHR     ^88809.0^London Heathrow Airport
NCE     ^14880.0^Nice Côte d'Azur International Airport
GVA     ^14720.0^Aéroport Genève-Cointrin
TPE     ^14450.0^Taiwan Taoyuan International Airport
YUL     ^14040.0^Montréal-Pierre Elliott Trudeau International Airport
HKT     ^14040.0^Phuket International Airport
LIN     ^14020.0^Milano Linate Airport
PRG     ^13990.0^Prague Václav Havel Airport
GRU     ^13850.0^São Paulo–Guarulhos International Airport
PMI     ^13840.0^Palma de Mallorca Airport
TUN     ^13830.0^Tunis-Carthage Airport
SJU     ^13730.0^Luis Muñoz Marín International Airport
DME     ^13600.0^Domodedovo International Airport
BWI     ^13590.0^Baltimore-Washington International Airport
SLC     ^13530.0^Salt Lake City International Airport
BLR     ^13490.0^Kempegowda International Airport
PER     ^13300.0^Perth Airport
DUB     ^12900.0^Dublin Airport
STL     ^12760.0^Lambert–St. Louis International Airport
DPS     ^12740.0^Ngurah Rai International Airport
SGN     ^12700.0^Tan Son Nhat International Airport
PDX     ^12550.0^Portland International Airport
DAC     ^12420.0^Shahjalal International Airport
RSW     ^12310.0^Southwest Florida International Airport
AMM     ^12310.0^Queen Alia International Airport
VCE     ^12030.0^Venice Marco Polo Airport
HEL     ^11930.0^Helsinki-Vantaa Airport
MRU     ^11820.0^Sir Seewoosagur Ramgoolam International Airport
DOH     ^11810.0^Hamad International Airport
SCL     ^11760.0^Comodoro Arturo Merino Benítez International Airport
CAN     ^11730.0^Guangzhou Baiyun International Airport
CMN     ^11720.0^Mohammed V International Airport
RDU     ^11530.0^Raleigh-Durham International Airport
AGP     ^11520.0^Málaga Airport
AUS     ^11480.0^Austin-Bergstrom International Airport
HYD     ^11410.0^Rajiv Gandhi International Airport
EZE     ^11360.0^Buenos Aires - Ministro Pistarini International Airport
CMB     ^11230.0^Bandaranayake International Air Port
WAW     ^11200.0^Warsaw Chopin Airport
BEY     ^10950.0^Beirut International Airport
SAT     ^10780.0^San Antonio International Airport
CGK     ^10640.0^Soekarno-Hatta International Airport
ALG     ^10610.0^Algiers Houari Boumediene Airport
COK     ^10490.0^Cochin International Airport
PIT     ^10430.0^Pittsburgh International Airport
BUD     ^10420.0^Budapest Ferenc Liszt International Airport
MBJ     ^10390.0^Sangster International Airport
GIG     ^10380.0^Rio de Janeiro-Galeão International Airport
SNA     ^10360.0^John Wayne Airport-Orange County
MCI     ^9910.0^Kansas City International Airport
YYC     ^9810.0^Calgary International Airport
MRS     ^9650.0^Marseille Provence Airport
MAN     ^9540.0^Manchester Airport
OGG     ^9040.0^Kahului Airport
CCU     ^8990.0^Netaji Subhas Chandra Bose International Airport
BNA     ^8980.0^Nashville International Airport
PBI     ^8910.0^Palm Beach International Airport
NBO     ^8740.0^Jomo Kenyatta International Airport
LYS     ^8590.0^Lyon–Saint Exupéry Airport
AUH     ^8560.0^Abu Dhabi International Airport
UIO     ^8550.0^Mariscal Sucre International Airport
KBP     ^8490.0^Kyiv Boryspil International Airport
LGW     ^8380.0^London Gatwick Airport
SJC     ^8280.0^Norman Y. Mineta San José International Airport
IND     ^8240.0^Indianapolis International Airport
ISB     ^8160.0^Islamabad International Airport
TLS     ^8160.0^Toulouse-Blagnac Airport
GDL     ^8150.0^Guadalajara International Airport
AEP     ^8010.0^Jorge Newbery Airport
PTY     ^7910.0^Tocumen International Airport
OTP     ^7900.0^Henri Coandă International Airport
CCS     ^7800.0^Simón Bolívar International Airport
SDQ     ^7770.0^Las Américas International Airport
JAX     ^7690.0^Jacksonville International Airport
USM     ^7670.0^Koh Samui Airport
SJO     ^7590.0^Juan Santamaría International Airport
ADL     ^7570.0^Adelaide Airport
CMH     ^7480.0^John Glenn Columbus International Airport
CLE     ^7440.0^Cleveland-Hopkins International Airport
STR     ^7410.0^Stuttgart Airport
KWI     ^7380.0^Kuwait International Airport
CTA     ^7300.0^Catania–Fontanarossa Airport
LCY     ^7300.0^London City Airport
MKE     ^7230.0^General Mitchell International Airport
LHE     ^7200.0^Allama Iqbal International Airport
MLA     ^7120.0^Malta International Airport
DMM     ^7100.0^King Fahd International Airport
SJD     ^7080.0^Los Cabos International Airport
DUR     ^6950.0^King Shaka International Airport
HAV     ^6910.0^José Martí International Airport
GYE     ^6830.0^José Joaquín de Olmedo International Airport
NAS     ^6680.0^Lynden Pindling International Airport
TRV     ^6640.0^Trivandrum International Airport
KOA     ^6620.0^Kona International Airport
MDE     ^6540.0^José María Córdova International Airport
KTM     ^6500.0^Tribhuvan International Airport
CTG     ^6440.0^Aeropuerto Internacional de Crespo
MCT     ^6420.0^Muscat International Airport
CVG     ^6390.0^Cincinnati/Northern Kentucky International Airport
BLQ     ^6370.0^Bologna Guglielmo Marconi Airport
OPO     ^6350.0^Francisco de Sá Carneiro Airport
PVR     ^6280.0^Licenciado Gustavo Díaz Ordaz International Airport
MEM     ^6230.0^Memphis International Airport
BDL     ^6190.0^Bradley International Airport
BGO     ^6140.0^Bergen / Flesland
CCJ     ^6070.0^Calicut International Airport
SMF     ^6040.0^Sacramento International Airport
CLO     ^6010.0^Cali / Alfonso Bonillaaragon
AUA     ^5970.0^Queen Beatrix International Airport
TFN     ^5900.0^Tenerife North Airport
ADD     ^5880.0^Addis Ababa Bole International Airport
KEF     ^5810.0^Keflavík International Airport
LPA     ^5780.0^Gran Canaria Airport
BAH     ^5740.0^Bahrain International Airport
FLR     ^5720.0^Florence Peretola Airport
BEG     ^5560.0^Belgrade Nikola Tesla Airport
CHC     ^5410.0^Christchurch International Airport
MLE     ^5400.0^Velana International Airport
SAL     ^5370.0^Aeropuerto Internacional El Salvador
CGN     ^5260.0^Cologne Bonn Airport
EDI     ^5240.0^Edinburgh Airport
AMD     ^5200.0^Sardar Vallabhbhai Patel International Airport
AYT     ^5170.0^Antalya Airport
VLC     ^5110.0^Valencia Airport
SKG     ^5100.0^Thessaloniki Airport
GOT     ^5070.0^Gothenburg-Landvetter Airport
RAK     ^4970.0^Marrakesh Menara Airport
HAN     ^4970.0^Noi Bai International Airport
SVG     ^4960.0^Stavanger Airport, Sola
ANC     ^4940.0^Anchorage International Airport
SOF     ^4920.0^Sofia Airport
LIH     ^4900.0^Lihue Airport
KHI     ^4890.0^Karachi Airport
HAJ     ^4830.0^Hannover-Langenhagen Airport
BUF     ^4820.0^Greater Buffalo International Airport
YEG     ^4770.0^Edmonton International Airport
KIX     ^4720.0^Kansai International Airport
LCA     ^4700.0^Larnaca International Airport
OKC     ^4700.0^Will Rogers World Airport
LOS     ^4690.0^Murtala Mohammed International Airport
BIO     ^4650.0^Bilbao Airport
BOD     ^4630.0^Bordeaux–Mérignac Airport
MTY     ^4610.0^General Mariano Escobedo International Airport
ALA     ^4580.0^Almaty International Airport
DKR     ^4560.0^Léopold Sédar Senghor International Airport
PTP     ^4540.0^Pointe-à-Pitre Le Raizet Airport
CBR     ^4520.0^Canberra International Airport
CUR     ^4510.0^Hato International Airport
ORF     ^4480.0^Norfolk International Airport
SDF     ^4470.0^Louisville International Airport
GUA     ^4460.0^La Aurora International Airport
NAP     ^4420.0^Naples International Airport
BHX     ^4420.0^Birmingham Airport
CNX     ^4400.0^Chiang Mai International Airport
RIX     ^4400.0^Riga International Airport
VKO     ^4360.0^Vnukovo International Airport
RIC     ^4300.0^Richmond International Airport
ABQ     ^4290.0^Albuquerque International Airport
CHS     ^4160.0^Charleston International Airport
OMA     ^4120.0^Eppley Airfield
PSP     ^4100.0^Palm Springs International Airport
TUS     ^4090.0^Tucson International Airport
SAV     ^4080.0^Savannah International Airport
KRK     ^4030.0^John Paul II International Airport Kraków–Balice
WLG     ^3990.0^Wellington International Airport
RGN     ^3940.0^Yangon International Airport
CUZ     ^3910.0^Alejandro Velasco Astete International Airport
YOW     ^3860.0^Ottawa Macdonald-Cartier International Airport
ACC     ^3810.0^Kotoka International Airport
PMO     ^3790.0^Falcone-Borsellino Airport
AER     ^3790.0^Sochi International Airport
GEG     ^3770.0^Spokane International Airport
ABZ     ^3710.0^Aberdeen International Airport
GOI     ^3680.0^Goa International Airport
HOU     ^3670.0^William P Hobby Airport
RNO     ^3640.0^Reno/Tahoe International Airport
FDF     ^3630.0^Martinique Aimé Césaire International Airport
NAN     ^3630.0^Nadi International Airport
STT     ^3620.0^Cyril E. King Airport
HER     ^3620.0^Heraklion International Airport
ZAG     ^3610.0^Zagreb Franjo Tuđman Airport
LAD     ^3610.0^Luanda International Airport
LKO     ^3600.0^Chaudhary Charan Singh Airport
MDW     ^3590.0^Chicago Midway International Airport
GLA     ^3570.0^Glasgow Airport
DAR     ^3520.0^Julius Nyerere International Airport
PVD     ^3510.0^Theodore Francis Green State Airport
BAQ     ^3440.0^Ernesto Cortissoz International Airport
CNS     ^3420.0^Cairns International Airport
ESB     ^3420.0^Ankara Esenboğa International Airport
OAK     ^3390.0^Oakland International Airport
CGH     ^3390.0^Congonhas-São Paulo Airport
POS     ^3360.0^Piarco International Airport
PLZ     ^3330.0^Port Elizabeth Airport
GSO     ^3330.0^Piedmont Triad International Airport
HND     ^3290.0^Tokyo International Airport
PNS     ^3290.0^Pensacola International Airport
DAY     ^3280.0^James M Cox Dayton International Airport
IBZ     ^3280.0^Ibiza Airport
MED     ^3280.0^Prince Mohammad bin Abdulaziz Airport
MGA     ^3260.0^Augusto César Sandino International Airport
FNC     ^3210.0^Madeira Airport
BOI     ^3190.0^Boise Air Terminal
KRT     ^3190.0^Khartoum International Airport
TBS     ^3180.0^Tbilisi International Airport
LUX     ^3160.0^Luxembourg Findel Airport
RUN     ^3150.0^Roland Garros Airport
LIT     ^3140.0^Adams Field
ELP     ^3130.0^El Paso International Airport
TSE     ^3130.0^Astana Nursultan Nazarbayev International Airport
GRR     ^3110.0^Gerald R. Ford International Airport
IKA     ^3110.0^Tehran Imam Khomeini International Airport
DSM     ^3090.0^Des Moines International Airport
ADB     ^3060.0^İzmir Adnan Menderes International Airport
ROC     ^3040.0^Greater Rochester International Airport
ADZ     ^3030.0^Gustavo Rojas Pinilla International Airport
ONT     ^3020.0^Ontario International Airport
MYR     ^3000.0^Myrtle Beach International Airport
TRD     ^3000.0^Trondheim Airport, Værnes
KRR     ^3000.0^Krasnodar International Airport
SYR     ^3000.0^Syracuse Hancock International Airport
CEB     ^2990.0^Mactan-Cebu International Airport
NUE     ^2980.0^Nuremberg Airport
HBE     ^2970.0^Alexandria Borg El Arab Airport
BGI     ^2960.0^Grantley Adams International Airport
ROV     ^2950.0^Platov International Airport
ORN     ^2950.0^Oran / Es Senia
BHM     ^2920.0^Birmingham–Shuttlesworth International Airport
TIP     ^2860.0^Tripoli International Airport
KIN     ^2840.0^Norman Manley International Airport
GYD     ^2810.0^Heydar Aliyev International Airport
TUL     ^2810.0^Tulsa International Airport
YHZ     ^2800.0^Halifax Stanfield International Airport
MBA     ^2800.0^Mombasa Airport
SUF     ^2760.0^Lamezia Terme International Airport
TRN     ^2760.0^Turin Caselle Airport
ALC     ^2760.0^Alicante–Elche Airport
BMA     ^2760.0^Stockholm-Bromma Airport
SVQ     ^2750.0^Seville San Pablo Airport
SXM     ^2740.0^Princess Juliana International Airport
KBV     ^2740.0^Krabi Airport
SDU     ^2720.0^Santos Dumont Airport
PPT     ^2720.0^Fa'a'ā International Airport
FAO     ^2700.0^Faro Airport
COS     ^2690.0^Colorado Springs Airport
BRI     ^2680.0^Bari Karol Wojtyła Airport
YWG     ^2680.0^Winnipeg J. A. Richardson International Airport
SEZ     ^2670.0^Seychelles International Airport
ABJ     ^2600.0^Port Bouet Airport
GSP     ^2600.0^Greenville–Spartanburg International Airport
EBB     ^2600.0^Entebbe Airport
CTS     ^2600.0^New Chitose Airport
MSQ     ^2600.0^Minsk National Airport
NTE     ^2570.0^Nantes Atlantique Airport
GUM     ^2560.0^Antonio B. Won Pat International Airport
TLL     ^2520.0^Tallinn Airport
PAP     ^2520.0^Toussaint L'Ouverture International Airport
TIA     ^2520.0^Tirana International Airport Nënë Tereza
MSN     ^2490.0^Dane County Regional Airport
ATQ     ^2480.0^Sri Guru Ram Dass Jee International Airport
MDT     ^2470.0^Harrisburg International Airport
MVD     ^2430.0^Carrasco International Airport
SAW     ^2430.0^Sabiha Gökçen International Airport
CAE     ^2430.0^Columbia Metropolitan Airport
PNQ     ^2420.0^Pune Airport
XNA     ^2410.0^Northwest Arkansas Regional Airport
EVN     ^2410.0^Zvartnots International Airport
GDN     ^2400.0^Gdańsk Lech Wałęsa Airport
SVX     ^2400.0^Ekaterinburg Koltsovo Airport
TFS     ^2360.0^Tenerife South Airport
ALB     ^2350.0^Albany County Airport
USH     ^2350.0^Ushuaia Aerodrome
OOL     ^2350.0^Gold Coast Airport
ANU     ^2340.0^V. C. Bird International Airport
IGR     ^2340.0^Cataratas del Iguazú International Airport
UVF     ^2340.0^Hewanorra International Airport
CNF     ^2330.0^Belo Horizonte
TAO     ^2320.0^Qingdao Liuting International Airport
SRQ     ^2320.0^Sarasota / Bradenton International Airport
SSH     ^2320.0^Sharm el-Sheikh International Airport
KIV     ^2310.0^Chişinău International Airport
BUR     ^2280.0^Burbank Bob Hope Airport
MFM     ^2280.0^Macau International Airport
HBA     ^2260.0^Hobart Airport
PWM     ^2240.0^Portland International Jetport
TYS     ^2240.0^McGhee Tyson Airport
PMV     ^2220.0^Santiago Mariño Caribbean International Airport
SIP     ^2220.0^Simferopol International Airport
KTA     ^2210.0^Karratha Airport
NCL     ^2200.0^Newcastle International Airport
SXB     ^2200.0^Strasbourg International Airport
CAG     ^2200.0^Cagliari Elmas Airport
IGU     ^2190.0^Foz do Iguaçu / Cataratas International Airport
JAI     ^2190.0^Jaipur Airport
SMR     ^2180.0^Simón Bolívar International Airport
PLS     ^2160.0^Providenciales International Airport
POA     ^2160.0^Salgado Filho International Airport
ICT     ^2160.0^Wichita Mid-Continent Airport
PNH     ^2150.0^Phnom Penh International Airport
SJJ     ^2140.0^Sarajevo Airport
BSB     ^2130.0^Brasilia International Airport
LGB     ^2130.0^Long Beach Airport
GCM     ^2110.0^Owen Roberts International Airport
BJX     ^2110.0^Del Bajío International Airport
BGA     ^2100.0^Palonegro International Airport
SSA     ^2100.0^Salvador International Airport, Deputado Luís Eduardo Magalhães
LIR     ^2070.0^Daniel Oduber Quirós International Airport
GEO     ^2070.0^Cheddi Jagan International Airport
BLL     ^2050.0^Billund Lufthavn
RHO     ^2030.0^Rhodes International Airport
BSL     ^2030.0^EuroAirport Basel–Mulhouse–Freiburg
VVI     ^2020.0^Viru Viru International Airport
ODS     ^2020.0^Odessa International Airport
PUS     ^2020.0^Busan / Gimhae International Airport
IXE     ^2010.0^Mangalore Airport
NGO     ^2000.0^Chūbu Centrair International Airport
HRE     ^2000.0^Robert Gabriel Mugabe International Airport
COR     ^1980.0^Pajas Blancas Airport
VRN     ^1970.0^Verona Villafranca Airport
CCP     ^1950.0^Carriel Sur International Airport
BRE     ^1950.0^Bremen Airport
ABV     ^1950.0^Nnamdi Azikiwe International Airport
HSV     ^1950.0^Huntsville International Airport-Carl T Jones Field
JTR     ^1880.0^Santorini Airport
XMN     ^1880.0^Xiamen Gaoqi International Airport
FAI     ^1870.0^Fairbanks International Airport
MDZ     ^1870.0^Mendoza Aerodrome
EYW     ^1870.0^Key West International Airport
VNO     ^1870.0^Vilnius International Airport
AHB     ^1850.0^Abha Regional Airport
MHT     ^1840.0^Manchester Airport
PEI     ^1830.0^Pereira / Matecana
MRV     ^1820.0^Mineralnye Vody Airport
GOA     ^1810.0^Genoa Cristoforo Colombo Airport
FUE     ^1810.0^Fuerteventura Airport
PDL     ^1800.0^Ponta Delgada-João Paulo II Airport
DJE     ^1790.0^Djerba-Zarzis International Airport
KUF     ^1790.0^Kurumoch International Airport
CZL     ^1790.0^Mohamed Boudiaf International Airport
DBV     ^1760.0^Dubrovnik Airport
TOS     ^1750.0^Tromsø Airport, Langnes
ZQN     ^1720.0^Queenstown Airport
PEW     ^1720.0^Bacha Khan International Airport
PEN     ^1720.0^Penang International Airport
HGH     ^1720.0^Hangzhou Xiaoshan International Airport
CTU     ^1710.0^Chengdu Shuangliu International Airport
AQP     ^1710.0^Rodríguez Ballón International Airport
CZM     ^1700.0^Cozumel International Airport
ACE     ^1700.0^Lanzarote Airport
MPM     ^1690.0^Maputo International Airport
OVB     ^1680.0^Tolmachevo Airport
SHA     ^1670.0^Shanghai Hongqiao International Airport
ANF     ^1660.0^Aeropuerto Cerro Moreno
ASU     ^1650.0^Silvio Pettirossi International Airport
AAQ     ^1650.0^Anapa Airport
XPG     ^1630.0^Gare de Nord
BRC     ^1620.0^Bariloche Aerodrome
GMP     ^1610.0^Gimpo International Airport
CAK     ^1610.0^Akron-Canton Regional Airport
HPN     ^1610.0^Westchester County Airport
MMX     ^1610.0^Malmö Airport
LUN     ^1610.0^Lusaka International Airport
DRW     ^1600.0^Darwin International Airport
BTR     ^1600.0^Baton Rouge Metropolitan Airport
SPU     ^1600.0^Split Airport
TAS     ^1600.0^Tashkent International Airport
CJC     ^1600.0^El Loa Airport
KBL     ^1580.0^Kabul International Airport
KHH     ^1580.0^Kaohsiung International Airport
YQB     ^1580.0^Jean Lesage International Airport
VPS     ^1580.0^Destin–Fort Walton Beach Airport
BZN     ^1560.0^Gallatin Field Airport
VVO     ^1550.0^Vladivostok International Airport
TGU     ^1540.0^Toncontín International Airport
DAB     ^1540.0^Daytona Beach International Airport
BDA     ^1540.0^L.F. Wade International Airport
JAN     ^1530.0^Jackson-Evers International Airport
BZE     ^1520.0^Belize International Airport
GPT     ^1520.0^Gulfport-Biloxi Regional Airport
FAT     ^1510.0^Fresno Yosemite International Airport
SZX     ^1510.0^Shenzhen Bao'an International Airport
AGA     ^1510.0^Agadir–Al Massira Airport
AJA     ^1510.0^Ajaccio Napoleon Bonaparte Airport
ZNE     ^1510.0^Newman Airport
PBM     ^1500.0^Johan Adolf Pengel International Airport
BOO     ^1500.0^Bodø Airport
LJU     ^1490.0^Ljubljana Jože Pučnik Airport
BTV     ^1490.0^Burlington International Airport
TNR     ^1480.0^Ivato International Airport
IDR     ^1480.0^Devi Ahilyabai Holkar International Airport
STI     ^1470.0^Cibao International Airport
PAT     ^1470.0^Lok Nayak Jayaprakash Airport
WDH     ^1470.0^Windhoek Hosea Kutako International Airport
IXC     ^1470.0^Chandigarh International Airport
FOC     ^1460.0^Fuzhou Changle International Airport
WRO     ^1450.0^Wrocław–Copernicus Airport
SAP     ^1450.0^Ramón Villeda Morales International Airport
PRN     ^1440.0^Pristina International Airport (PIA)
TGD     ^1440.0^Podgorica Airport
VNS     ^1440.0^Lal Bahadur Shastri Airport
POM     ^1430.0^Jacksons International Airport
DRS     ^1430.0^Dresden Airport
FAY     ^1430.0^Fayetteville Municipal Airport
TLH     ^1430.0^Tallahassee Regional Airport
GAU     ^1430.0^Lokpriya Gopinath Bordoloi International Airport
BHD     ^1420.0^George Best Belfast City Airport
BLA     ^1420.0^General José Antonio Anzoátegui International Airport
SZG     ^1410.0^Salzburg Airport
YQR     ^1400.0^Regina
OUD     ^1400.0^Angads Airport
SKP     ^1400.0^Skopje International Airport
BEN     ^1400.0^Benina International Airport
TSV     ^1390.0^Townsville Airport
DAL     ^1390.0^Dallas Love Field
TUU     ^1380.0^Tabuk Regional Airport
LPB     ^1380.0^El Alto International Airport
RPR     ^1380.0^Swami Vivekananda Airport
BDS     ^1380.0^Brindisi – Salento Airport
SLA     ^1380.0^Martín Miguel de Güemes International Airport
YLW     ^1380.0^Kelowna International Airport
PZO     ^1370.0^Manuel Carlos Piar Guayana Airport
NOU     ^1370.0^La Tontouta International Airport
ELS     ^1370.0^East London Airport
FSD     ^1360.0^Joe Foss Field
JAC     ^1360.0^Jackson Hole Airport
VGO     ^1360.0^Vigo-Peinador Airport
IEV     ^1350.0^Kyiv Zhuliany International Airport
PMC     ^1340.0^El Tepual International Airport
BUQ     ^1340.0^Bulawayo Airport
REP     ^1330.0^Siem Reap International Airport
JRO     ^1320.0^Kilimanjaro International Airport
YTZ     ^1310.0^Billy Bishop Toronto City Airport
OLB     ^1310.0^Olbia - Costa Smeralda Airport
VAR     ^1290.0^Varna Airport
ZYL     ^1290.0^Osmani International Airport
YYJ     ^1290.0^Victoria International Airport
CGP     ^1290.0^Shah Amanat International Airport
BKI     ^1280.0^Jesselton
SNN     ^1280.0^Shannon Airport
TAB     ^1270.0^Arthur Napoleon Raymond Robinson International Airport
SBA     ^1270.0^Santa Barbara Municipal Airport
ILM     ^1260.0^Wilmington International Airport
YYT     ^1260.0^St. John's International Airport
DLC     ^1230.0^Dalian Zhoushuizi International Airport
SGF     ^1220.0^Springfield-Branson National Airport
NKG     ^1220.0^Nanjing Lukou International Airport
BES     ^1220.0^Brest-Bretagne
KHV     ^1220.0^Khabarovsk Novy Airport
VTZ     ^1210.0^Visakhapatnam Airport
HRG     ^1210.0^Hurghada International Airport
BGW     ^1210.0^Baghdad International Airport
SHE     ^1200.0^Shenyang Taoxian International Airport
PSC     ^1200.0^Tri-Cities Airport
FPO     ^1200.0^Grand Bahama International Airport
PIU     ^1190.0^Capitán FAP Guillermo Concha Iberico International Airport
MAR     ^1190.0^La Chinita Internacional
MPL     ^1190.0^Montpellier–Méditerranée Airport
DUD     ^1180.0^Dunedin Airport
CKY     ^1180.0^Conakry International Airport
LCG     ^1170.0^A Coruña Airport
BIQ     ^1170.0^Biarritz Pays Basque Airport
TRU     ^1160.0^Capitán FAP Carlos Martínez de Pinillos International Airport
FTE     ^1160.0^El Calafate Airport
FRU     ^1160.0^Bishkek/Manas Airport
LIL     ^1150.0^Lille Airport
CUC     ^1150.0^Camilo Daza International Airport
BIL     ^1150.0^Logan International Airport
DLA     ^1140.0^Douala Obs.
AMA     ^1140.0^Rick Husband Amarillo International Airport
TIJ     ^1130.0^General Abelardo L. Rodríguez International Airport
PHE     ^1130.0^Port Hedland Pardoo
KJA     ^1130.0^Krasnoyarsk Yemelyanovo Airport
BKO     ^1120.0^Bamako–Sénou International Airport
UDR     ^1120.0^Maharana Pratap international Airport
MTR     ^1080.0^Los Garzones Airport
VER     ^1080.0^General Heriberto Jara International Airport
SAH     ^1080.0^Sana'a International Airport
BJV     ^1080.0^Bodrum Milas Airport
CUU     ^1080.0^General Roberto Fierro Villalobos International Airport
LEJ     ^1070.0^Leipzig-Halle Airport
KGL     ^1070.0^Kigali International Airport
CHQ     ^1060.0^Chania International Airport
LEX     ^1060.0^Blue Grass Airport
DOK     ^1060.0^Donetsk International Airport
IXB     ^1050.0^Bagdogra Airport
CPO     ^1050.0^Desierto de Atacama Airport
BZV     ^1040.0^Maya-Maya Airport
KMG     ^1040.0^Kunming Changshui International Airport
GIZ     ^1040.0^Jizan Regional Airport
VSA     ^1040.0^Carlos Rovirosa Pérez International Airport
HMO     ^1040.0^General Ignacio Pesqueira García International Airport
CWB     ^1040.0^Curitiba Airport
CJB     ^1030.0^Coimbatore International Airport
ROA     ^1030.0^Roanoke Regional Airport-Woodrum Field
RAP     ^1020.0^Rapid City Regional Airport
KGD     ^1020.0^Khrabrovo Airport
JER     ^1020.0^Jersey Airport
PHF     ^1020.0^Newport News-Williamsburg International Airport
ZYR     ^1020.0^Brussels-South railway station
IQT     ^1010.0^Coronel FAP Francisco Secada Vignetta International Airport
ASE     ^1010.0^Aspen–Pitkin County Airport
RAJ     ^1010.0^Rajkot Airport
MOB     ^1010.0^Mobile Regional Airport
COO     ^1010.0^Cotonou Airport
REC     ^1010.0^Recife/Guararapes–Gilberto Freyre International Airport
OVD     ^1010.0^Asturias Airport
MAH     ^1000.0^Menorca Airport
VTE     ^1000.0^Wattay International Airport
FLN     ^1000.0^Florianópolis-Hercílio Luz International Airport
CUE     ^990.0^Cuenca / Mariscal Lamar
ULN     ^990.0^Ulan-Bator Chinggis Khan International Airport
MYY     ^990.0^Miri Airport
CHA     ^990.0^Lovell Field
FIH     ^990.0^N'djili Airport
GRX     ^990.0^Federico García Lorca Airport
IQQ     ^980.0^Diego Aracena International Airport
